direccion,placa,vigente
CALLE SAN JOSE (ARGAMASON) 6,,False
CALLE TENIENTE RUEDA 0,9128,False
CALLE GENERAL MENDEZ PARADA 0,4647,False
CALLE RAMON CASAS 19  PEATONAL,10477,False
CALLE PIEDRA 0,9264,False
CALLE PIEDRA 2,9160,False
CALLE RAMON CASAS 23,9528,False
AVDA ISABEL LA CATOLICA 36,4360,True
CALLE CAMINO DE LA VIRGEN 11,2585,False
CALLE ESCRITOR BEN NASSIR 0,6650,False
CALLE GRANADA 0,3486,False
CALLE CAMINO DE LA VIRGEN 9,5126,False
CALLE MANUEL DE FALLA 8,5220,False
CALLE MANUEL DE FALLA 15,7067,True
CALLE HUESCA 33,10412,False
CALLE LERIDA 20,9722,True
CALLE JUAN SEBASTIAN ELCANO 68,7035,True
CALLE GRANADA 2,6223,True
CALLE GRANADA 37,6549,False
CALLE TEJARES 82,5982,True
CALLE TEJARES 82,6220,True
CALLE TOBARRA 9,3500,True
CALLE DIEGO DE ALMAGRO 4,4244,False
CALLE ORENSE 0,2130,False
CALLE PONTEVEDRA 1,,False
CALLE MANUEL DE FALLA 12,10360,True
CALLE MANUEL DE FALLA 21,707,True
CALLE MANUEL DE FALLA 10,7056,False
CALLE JUAN DE AUSTRIA 12,1164,True
CALLE FRANCISCO PIZARRO 77,519,True
CALLE AGUSTINA DE ARAGON 73,5939,False
CALLE HERMANOS PINZON 45,4334,False
CALLE RAMON CASAS 12,4953,False
CALLE MANUEL DE FALLA 0,7455,True
CALLE CARRETERA PEÑAS DE SAN PEDRO 38,7592,True
CALLE CAMINO DE LA VIRGEN 47,5908,False
CALLE ORENSE 4,1140,False
AVDA ARTE (EL) 26,10019,False
CALLE MANUEL DE FALLA 15,1084,False
CALLE LUGO 30,6208,False
CALLE ORENSE 0,1971,False
CALLE PONTEVEDRA 19,4075,True
CALLE PONTEVEDRA 14,10488,True
CALLE MANUEL DE FALLA 23,2522,False
CALLE ORENSE 9,1597,True
CALLE LOPE DE VEGA 35,392,False
CALLE BILBAO 26,4293,True
AVDA TOREROS (LOS) 22,579,True
CALLE PEÑAS (LAS) (ARGAMASON) 14,,False
CALLE MELCHOR DE MACANAZ 13,4778,True
CALLE MANUEL DE FALLA 33,5944,False
CALLE RAMON CASAS 0  S/N,2466,False
CALLE NUEVA 0,6991,True
CALLE LAUREL 7,5394,False
CALLE ENEBRO 0,4806,True
CALLE MORERA 0,6342,True
CALLE RAMON CASAS 33,433,True
CALLE RAMON CASAS 33,5563,False
CALLE PINTOR QUIJADA 2,6992,True
CALLE BARRIO DEL MILAGRO (SANTA ANA) 103,,False
CALLE SOL (SANTA ANA) 4,,False
CALLE SOL (SANTA ANA) 8,,False
CALLE BARRIO DEL MILAGRO (SANTA ANA) 44,,False
CALLE BARRIO DEL MILAGRO (SANTA ANA) 91,,False
CALLE LEVANTE (SANTA ANA) 17,,False
CALLE SAN ILDEFONSO 6,8293,True
CALLE ANDORRA 0,2995,True
CALLE MARZO 22,9165,True
CALLE SAN ANTONIO DE LA BARQUERA 4,1966,True
CALLE SAN ANTONIO DE LA BARQUERA 4,3741,True
CALLE BARRIO DEL MILAGRO (SANTA ANA) 65,,False
CALLE BARRIO DEL MILAGRO (SANTA ANA) 63,,False
CALLE BARRIO DEL MILAGRO (SANTA ANA) 47,,False
CALLE RAMON Y CAJAL (SANTA ANA) 5,,False
CALLE OLMO 2,10382,False
CALLE MAYOS (LOS) (SANTA ANA) 4,,False
CALLE BARRIO DEL MILAGRO (SANTA ANA) 3,,False
CALLE PAZ (LA) 41  S/N (JUNTO NUM. 41),3528,False
CALLE PADRE MANJON (SANTA ANA) 9,,False
CALLE PADRE MANJON (SANTA ANA) 12,9454,False
CALLE PADRE MANJON (SANTA ANA) 18,,False
CALLE HERMANOS PINZON 9,9355,False
CALLE BENAVENTE 6,5748,True
CALLE CORDOBA 44,4922,False
CALLE BAILEN 50,7164,False
CALLE ALMERIA 1,7475,True
CALLE AMISTAD 8,1307,False
CALLE LOPE DE VEGA 25,9251,True
CALLE FERIA 45,945,True
CALLE JOSE ZORRILLA 9,9010,True
CALLE VIRREY MORCILLO 2 B,6668,True
CALLE DOCTOR FERRAN 9,2405,True
CALLE JOSE ISBERT 10,7735,True
CALLE DOCTOR FERRAN 6,10420,True
CALLE ALEGRIA 5,6521,True
CALLE DOCTOR COLLADO PIÑA 75,978,True
CALLE OCTAVIO CUARTERO 14,4048,True
CALLE IBAÑEZ IBERO 10,2914,True
CALLE LOPE DE VEGA 7,822,True
PLAZA PERIODISTA ANTONIO ANDUJAR 0,8239,True
CTRA PEÑAS (LAS) (SALOBRAL (EL)) 7,,False
CALLE CRISTOBAL PEREZ PASTOR 12,4414,True
PLAZA PERIODISTA ANTONIO ANDUJAR 12,577,True
CALLE LEPANTO 37,2077,True
CALLE YESTE 0,7578,True
CALLE IBAÑEZ IBERO 17,4862,True
CALLE ALEGRIA 5,510,True
CALLE COLOMBIA 16,6210,True
CALLE ENEBRO 0,5340,False
CALLE MARZO 55,2073,True
CALLE HUESCA 26,7173,True
CALLE REUS 30,8923,False
CALLE RIOS ROSAS 69,6807,True
CALLE MUÑOZ SECA 0  S/N,5918,True
CALLE VIRREY MORCILLO 10,236,True
CALLE DOCTOR FERRAN 26,6204,True
CALLE OCTAVIO CUARTERO 0,6224,True
